iter	Passed	Remaining
0	159	159401
1	161	80423
2	162	54037
3	163	40820
4	165	32872
5	166	27568
6	167	23820
7	169	21046
8	172	18991
9	173	17201
10	175	15734
11	176	14508
12	177	13474
13	178	12584
14	179	11814
15	181	11139
16	182	10551
17	184	10038
18	185	9591
19	187	9186
20	188	8790
21	189	8430
22	190	8099
23	191	7794
24	192	7517
25	193	7260
26	194	7021
27	196	6804
28	197	6601
29	198	6415
30	200	6261
31	201	6102
32	202	5943
33	203	5792
34	204	5647
35	205	5512
36	206	5383
37	207	5263
38	208	5148
39	210	5045
40	211	4956
41	213	4861
42	214	4779
43	216	4694
44	217	4610
45	218	4531
46	219	4451
47	220	4375
48	221	4301
49	222	4236
50	224	4172
51	225	4113
52	226	4052
53	228	4003
54	229	3951
55	231	3896
56	232	3843
57	233	3792
58	234	3741
59	235	3690
60	236	3644
61	237	3599
62	239	3555
63	240	3512
64	241	3473
65	242	3437
66	244	3405
67	245	3369
68	246	3332
69	247	3294
70	248	3257
71	249	3222
72	251	3187
73	252	3154
74	253	3121
75	254	3089
76	255	3060
77	256	3031
78	257	3007
79	259	2983
80	260	2957
81	261	2931
82	262	2901
83	263	2876
84	264	2850
85	265	2825
86	267	2802
87	268	2778
88	269	2755
89	270	2733
90	271	2712
91	273	2695
92	274	2678
93	275	2657
94	276	2635
95	277	2616
96	278	2595
97	279	2575
98	280	2554
99	281	2536
100	282	2517
101	283	2498
102	284	2481
103	286	2464
104	288	2455
105	289	2444
106	290	2427
107	292	2411
108	293	2395
109	294	2379
110	295	2363
111	296	2347
112	297	2332
113	298	2316
114	299	2302
115	300	2288
116	301	2279
117	304	2277
118	306	2267
119	307	2254
120	308	2241
121	309	2226
122	310	2213
123	311	2200
124	312	2187
125	313	2174
126	314	2160
127	315	2148
128	317	2141
129	319	2135
130	320	2126
131	321	2115
132	322	2105
133	324	2096
134	325	2085
135	326	2073
136	327	2062
137	328	2051
138	329	2041
139	332	2040
140	334	2035
141	335	2024
142	336	2015
143	337	2005
144	338	1995
145	339	1985
146	340	1975
147	341	1965
148	342	1955
149	343	1946
150	344	1939
151	347	1939
152	349	1932
153	350	1924
154	351	1915
155	352	1906
156	353	1897
157	354	1888
158	355	1880
159	356	1871
160	357	1860
161	358	1852
162	359	1847
163	361	1842
164	363	1838
165	364	1831
166	365	1824
167	366	1816
168	367	1809
169	368	1801
170	370	1793
171	371	1786
172	372	1778
173	373	1772
174	374	1766
175	376	1762
176	378	1757
177	379	1750
178	380	1743
179	381	1737
180	382	1730
181	383	1723
182	384	1716
183	385	1709
184	386	1702
185	387	1696
186	388	1691
187	390	1684
188	391	1681
189	393	1676
190	394	1672
191	396	1667
192	397	1661
193	398	1654
194	399	1648
195	400	1642
196	401	1635
197	402	1630
198	403	1625
199	404	1619
200	406	1616
201	408	1612
202	409	1607
203	410	1602
204	411	1597
205	413	1592
206	414	1586
207	415	1580
208	416	1575
209	417	1570
210	418	1565
211	419	1560
212	423	1563
213	424	1559
214	425	1554
215	426	1549
216	427	1544
217	428	1538
218	429	1532
219	431	1528
220	432	1523
221	433	1518
222	434	1513
223	435	1509
224	437	1506
225	438	1502
226	439	1497
227	441	1494
228	442	1489
229	443	1484
230	444	1479
231	445	1475
232	446	1470
233	447	1466
234	449	1461
235	450	1457
